Activity Type,Date,Title,Distance,Time,Avg Pace,Total Ascent,Steps
Running,2025-01-08 15:18:16,San Diego Running,4.63,00:35:19,7:37,387,"6,544"
Running,2025-01-07 16:08:09,San Diego Running,8.43,01:02:10,7:23,492,"11,522"
Running,2025-01-06 14:57:35,San Diego Running,6.05,00:52:06,8:37,646,"9,470"
Running,2025-01-05 16:47:37,San Diego Running,5.05,00:37:48,7:29,531,"6,984"
Running,2025-01-04 13:41:39,San Diego Running,3.13,00:36:04,11:31,46,"6,434"
Running,2025-01-03 13:20:55,San Diego Running,26.29,03:49:17,8:43,"1,460","40,006"
Running,2025-01-02 16:37:17,San Diego Running,8.43,01:01:26,7:17,502,"11,446"
Running,2025-01-01 22:52:14,San Diego Running,3.40,00:30:07,8:52,295,"5,446"
Running,2024-12-31 21:43:15,San Diego Running,10.03,01:14:09,7:23,873,"13,890"
Running,2024-12-27 22:24:02,San Diego Running,3.37,00:24:42,7:20,282,"4,556"
Running,2024-12-26 22:26:21,San Diego Running,4.37,00:33:59,7:46,561,"6,256"
Running,2024-12-25 21:20:28,San Diego Running,4.62,00:35:17,7:38,476,"6,530"
Running,2024-12-24 22:40:22,San Diego Running,4.20,00:32:18,7:42,390,"5,962"
Running,2024-12-23 21:28:52,San Diego Running,8.17,01:04:38,7:54,978,"11,704"
Running,2024-12-21 12:13:10,Berkeley Running,4.58,00:38:53,8:29,361,"6,974"
Running,2024-12-20 18:12:18,Berkeley Running,0.87,00:06:52.4,7:54,3,"1,268"
Running,2024-12-19 23:18:00,Berkeley Running,4.07,00:31:49,7:50,449,"5,782"
Running,2024-12-17 19:26:50,Berkeley Running,5.60,00:49:03,8:46,463,"8,826"
Running,2024-12-15 16:15:03,Berkeley Running,13.17,01:28:35,6:44,292,"16,708"
Running,2024-12-14 08:56:35,Berkeley Running,8.15,01:10:22,8:38,633,"12,640"
Running,2024-12-12 10:03:49,Berkeley Running,0.86,00:06:31.5,7:37,3,"1,186"
Running,2024-12-11 17:19:13,Berkeley Running,4.34,00:37:19,8:36,659,"6,690"
Running,2024-12-10 15:56:25,Berkeley Running,5.53,00:44:11,7:59,344,"7,992"
Running,2024-12-09 15:58:45,Berkeley Running,10.07,01:22:03,8:09,"1,086","14,724"
Running,2024-12-07 08:51:01,Berkeley Running,7.65,01:15:08,9:49,823,"13,270"
Running,2024-12-02 18:34:18,Berkeley Running,6.05,00:44:38,7:22,354,"8,352"
Running,2024-11-28 14:56:24,San Diego Running,2.06,00:20:20,9:53,259,"3,586"
Running,2024-11-27 17:22:42,San Diego Running,1.01,00:13:14,13:07,220,"2,324"
Running,2024-11-27 16:25:00,San Diego Running,1.02,00:06:00.0,5:54,39,"1,136"
Running,2024-11-26 21:33:39,San Diego Running,2.14,00:24:05,11:16,197,"4,168"
Running,2024-11-25 16:44:11,Berkeley Running,14.02,01:45:19,7:31,751,"18,904"
Running,2024-11-22 21:51:17,Berkeley Running,5.94,00:47:02,7:55,584,"8,456"
Running,2024-11-15 15:09:39,Berkeley Running,7.02,00:58:52,8:23,436,"10,726"
Running,2024-11-14 22:50:38,Berkeley Running,5.86,00:44:14,7:33,341,"8,188"
Running,2024-11-13 15:32:51,Berkeley Running,7.03,00:55:00,7:49,469,"10,090"
Running,2024-11-10 21:50:50,Berkeley Running,10.22,01:53:28,11:06,410,"18,988"
Running,2024-11-09 11:09:29,San Mateo County Running,1.39,00:13:06,9:27,171,"2,234"
Running,2024-11-07 21:28:31,Berkeley Running,10.35,01:19:23,7:40,358,"14,418"
Running,2024-11-05 22:45:12,Berkeley Running,10.29,01:15:25,7:20,364,"13,848"
Running,2024-11-01 10:13:14,Berkeley Running,6.22,00:52:03,8:22,463,"9,374"
Running,2024-10-30 17:11:12,Berkeley Running,7.58,00:57:08,7:32,476,"10,394"
Running,2024-10-28 17:52:06,Berkeley Running,6.96,00:52:30,7:32,253,"9,524"
Running,2024-10-24 17:50:08,Berkeley Running,7.30,00:50:51,6:58,354,"9,454"
Running,2024-10-22 22:43:34,Berkeley Running,4.05,00:37:37,9:17,335,"6,602"
Running,2024-10-21 18:39:01,Berkeley Running,0.84,00:06:25.8,7:37,3,"1,160"
Running,2024-10-12 16:29:36,Berkeley Running,7.33,00:55:51,7:37,295,"10,120"
Running,2024-10-10 22:06:56,Berkeley Running,3.78,00:35:23,9:21,249,"6,248"
Running,2024-10-08 22:36:17,Berkeley Running,5.31,00:41:17,7:46,335,"7,478"
Running,2024-10-06 09:31:38,Berkeley Running,1.03,00:10:30,10:09,3,"1,846"
Running,2024-10-06 09:15:48,Berkeley Running,2.09,00:11:21,5:25,16,"2,226"
Running,2024-10-06 08:49:57,Berkeley Running,0.85,00:05:56.0,6:57,3,"1,104"
Running,2024-10-04 00:56:08,Berkeley Running,4.36,00:32:35,7:29,381,"6,018"
Running,2024-09-30 17:54:38,Berkeley Running,4.87,00:32:25,6:39,39,"5,980"
Running,2024-09-28 09:27:25,Berkeley Running,4.31,00:36:51,8:33,673,"6,606"
Running,2024-09-26 22:32:53,Berkeley Running,4.31,00:35:57,8:20,354,"6,446"
Running,2024-09-25 17:12:27,Berkeley Running,7.68,00:56:01,7:18,545,"10,278"
Running,2024-09-24 22:47:57,Berkeley Running,4.51,00:29:42,6:35,295,"5,536"
Running,2024-09-20 19:25:47,Berkeley Running,0.90,00:06:31.1,7:16,10,"1,204"
Running,2024-09-16 17:46:00,Berkeley Running,3.71,00:26:47,7:13,52,"4,900"
Running,2024-09-14 08:23:09,Calaveras County Running,12.11,01:37:37,8:03,"1,936","17,342"
Running,2024-09-09 16:41:32,Berkeley Running,7.17,00:49:53,6:57,302,"9,106"
Running,2024-09-08 18:26:45,Berkeley Running,5.52,00:39:50,7:13,315,"7,416"
Running,2024-09-01 19:30:49,Berkeley Running,13.13,01:37:49,7:27,"1,785","17,694"
Running,2024-08-28 16:20:53,Berkeley Running,5.28,00:44:15,8:22,364,"7,906"
Running,2024-08-27 16:52:44,Berkeley Running,9.47,01:11:18,7:32,"1,007","12,750"
Running,2024-08-24 19:05:38,Berkeley Running,6.74,00:46:54,6:58,305,"8,684"
Running,2024-08-23 07:26:55,Berkeley Running,4.65,00:37:47,8:07,725,"6,736"
Running,2024-08-22 06:45:57,Berkeley Running,8.42,01:15:52,9:00,341,"13,430"
Running,2024-08-21 19:42:03,Berkeley Running,0.86,00:07:16.9,8:26,3,"1,312"
Running,2024-08-21 16:40:09,Berkeley Running,0.87,00:06:26.6,7:23,7,"1,160"
Running,2024-08-21 06:56:21,Berkeley Running,4.82,00:43:14,8:58,571,"7,890"
Running,2024-08-19 17:01:03,Berkeley Running,1.29,00:11:15,8:43,220,"1,982"
Running,2024-08-18 15:28:34,Berkeley Running,4.05,00:30:10,7:27,46,"5,574"
Running,2024-08-14 21:05:38,San Diego Running,4.22,00:32:08,7:37,407,"5,862"
Running,2024-08-13 09:04:31,San Diego Running,3.46,00:31:20,9:03,295,"5,572"
Running,2024-08-11 21:22:55,San Diego Running,4.24,00:33:26,7:53,407,"6,076"
Running,2024-08-10 08:54:04,San Mateo Running,7.75,01:00:23,7:47,289,"10,938"
Running,2024-08-09 18:35:43,Foster City Running,8.71,01:04:30,7:24,135,"11,780"
Running,2024-08-07 08:55:10,Berkeley Running,5.30,00:41:30,7:50,292,"7,538"
Running,2024-08-02 08:15:35,Berkeley Running,3.80,00:30:27,8:01,400,"5,472"
Running,2024-07-27 09:56:43,Berkeley Running,6.80,00:59:12,8:43,988,"10,478"
Running,2024-07-21 19:43:07,Berkeley Running,0.87,00:06:31.2,7:28,7,"1,210"
Running,2024-07-19 13:08:20,Berkeley Running,0.95,00:07:11.5,7:32,20,"1,304"
Running,2024-07-16 18:21:14,Berkeley Running,6.78,00:52:34,7:45,79,"9,464"
Running,2024-07-14 17:40:52,Berkeley Running,0.95,00:06:49.8,7:14,26,"1,256"
Running,2024-07-12 22:05:23,Berkeley Running,6.56,00:48:17,7:22,358,"8,720"
Running,2024-07-11 06:23:09,Berkeley Running,8.91,01:11:18,8:00,341,"12,676"
Running,2024-07-09 18:21:39,Berkeley Running,8.92,01:03:16,7:06,312,"11,454"
Running,2024-07-09 06:49:27,Berkeley Running,5.00,00:39:02,7:48,253,"7,030"
Running,2024-07-06 19:33:23,Chicago Running,7.10,00:49:59,7:02,121,"9,300"
Running,2024-07-02 19:08:06,Berkeley Running,10.55,01:13:37,6:59,302,"13,506"
Running,2024-06-29 08:14:22,Berkeley Running,5.48,00:45:48,8:22,295,"8,098"
Running,2024-06-27 17:19:29,Berkeley Running,7.97,01:05:43,8:15,538,"11,752"
Running,2024-06-25 19:27:04,Berkeley Running,7.02,01:03:13,9:01,886,"11,100"
Running,2024-06-24 19:46:12,Berkeley Running,2.71,00:29:56,11:03,210,"5,090"
Running,2024-06-24 18:20:02,Berkeley Running,3.44,00:30:34,8:53,43,"5,430"
Running,2024-06-21 17:11:27,Berkeley Running,0.95,00:07:16.6,7:39,30,"1,292"
Running,2024-06-20 08:02:35,Berkeley Running,5.05,00:39:08,7:45,358,"7,036"
Running,2024-06-19 15:07:38,Berkeley Running,6.93,00:51:17,7:24,410,"9,262"
Running,2024-06-18 22:05:27,Berkeley Running,4.35,00:32:57,7:34,354,"5,906"
